date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:26	42096/42096	---M--	200	added ('OK')	application/font-woff	etag:%22a470-581b3b594677f%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.woff	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.woff	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:26	90112/90112	---M--	200	added ('OK')	application/font-sfnt	etag:%2216000-581b3b59ca4dc%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.ttf	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.ttf	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:26	272343/272343	---MCZ	200	added ('OK')	image/svg+xml	etag:%22427d7-581b3b5b89911%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.svg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.svg	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:27	102373/102373	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218fe5-581b3b5da59a4%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.eot	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.eot	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:27	102373/102373	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218fe5-581b3b5da59a4%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.eot?	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semiboldd41d.eot	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:27	42056/42056	---M--	200	added ('OK')	application/font-woff	etag:%22a448-581b3b5c9718a%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.woff	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.woff	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:27	90132/90132	---M--	200	added ('OK')	application/font-sfnt	etag:%2216014-581b3b5d9bd64%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.ttf	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.ttf	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:28	273189/273189	---MCZ	200	added ('OK')	image/svg+xml	etag:%2242b25-581b3b69ed237%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.svg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-semibold/ProximaNova-Semibold.svg	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:28	106234/106234	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2219efa-581b3b554ce58%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.eot	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.eot	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:28	106234/106234	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2219efa-581b3b554ce58%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.eot?	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Boldd41d.eot	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:28	42620/42620	---M--	200	added ('OK')	application/font-woff	etag:%22a67c-581b3b56aa80f%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.woff	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.woff	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:29	89204/89204	---M--	200	added ('OK')	application/font-sfnt	etag:%2215c74-581b3b5402d20%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.ttf	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.ttf	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:29	272648/272648	---M-Z	200	added ('OK')	image/svg+xml	etag:%2242908-581b3b59aef5c%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.svg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-bold/ProximaNova-Bold.svg	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:29	550/550	---M-Z	200	added ('OK')	image/svg+xml	etag:%22226-581b3bd68b9d1%22	https://www.tagheuer.com/alec-monopoly-watches/images/common/closing-cross.svg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/images/common/closing-cross.svg	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:29	8621/8621	---M--	200	added ('OK')	image/png	etag:%2221ad-581b3bd6742d1%22	https://www.tagheuer.com/alec-monopoly-watches/images/common/btn-arrow-left.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/images/common/btn-arrow-left.png	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:30	7873/7873	---M--	200	added ('OK')	image/png	etag:%221ec1-581b3bd67cf71%22	https://www.tagheuer.com/alec-monopoly-watches/images/common/btn-arrow-right.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/images/common/btn-arrow-right.png	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:30	832/832	---M--	200	added ('OK')	image/png	etag:%22340-581b3bd534d79%22	https://www.tagheuer.com/alec-monopoly-watches/images/common/btn_play_mobile.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/images/common/btn_play_mobile.png	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
